Version Name,Segment,Year,Month,Period,Peril,Large Claim,Incurred Cost,Claims Nos,Earned Exposure
Plan,Aggregators,2019,5,201905,Non Weather,Attritional,5779361,2312,577291
Plan,Aggregators,2019,6,201906,Non Weather,Attritional,5767945,2307,577663
Plan,Aggregators,2019,7,201907,Non Weather,Attritional,5774463,2310,580792
Plan,Aggregators,2019,8,201908,Non Weather,Attritional,5742988,2297,576235
Plan,Aggregators,2019,9,201909,Non Weather,Attritional,5826960,2331,583492
Plan,Aggregators,2019,10,201910,Non Weather,Attritional,5956357,2383,594994
Plan,Aggregators,2019,11,201911,Non Weather,Attritional,5985227,2394,594566
Plan,Aggregators,2019,12,201912,Non Weather,Attritional,5987061,2395,599658
Plan,Aggregators,2018,7,201807,Non Weather,Large,4123271,1649,412094
Plan,Aggregators,2018,8,201808,Non Weather,Large,4159347,1664,413331
Plan,Aggregators,2018,9,201809,Non Weather,Large,5393532,2157,539049
Plan,Aggregators,2018,10,201810,Non Weather,Large,5487995,2195,548696
Plan,Aggregators,2018,11,201811,Non Weather,Large,5533021,2213,553172
Plan,Aggregators,2018,12,201812,Non Weather,Large,5638028,2255,564289
Plan,Aggregators,2019,1,201901,Non Weather,Large,5665942,2266,562443
Plan,Aggregators,2019,2,201902,Non Weather,Large,5648608,2259,567281
Plan,Aggregators,2019,3,201903,Non Weather,Large,5721677,2289,572256
Plan,Aggregators,2019,4,201904,Non Weather,Large,5742921,2297,573518
Plan,Aggregators,2019,5,201905,Non Weather,Large,5779602,2312,577265
Plan,Aggregators,2019,6,201906,Non Weather,Large,5805773,2322,576501
Plan,Aggregators,2019,7,201907,Non Weather,Large,5765118,2306,577953
Plan,Aggregators,2019,8,201908,Non Weather,Large,5798522,2319,578502
Plan,Aggregators,2019,9,201909,Non Weather,Large,5822156,2329,587114
Plan,Aggregators,2019,10,201910,Non Weather,Large,5907369,2363,595201
Plan,Aggregators,2019,11,201911,Non Weather,Large,5966241,2386,597861
Plan,Aggregators,2019,12,201912,Non Weather,Large,5970782,2388,601938
Plan V2,Aggregators,2018,9,201809,Non Weather,Attritional,4880337,1952,488280
Plan V2,Aggregators,2018,10,201810,Non Weather,Attritional,4916892,1967,491011
Plan V2,Aggregators,2018,11,201811,Non Weather,Attritional,4983536,1993,495905
Plan V2,Aggregators,2018,12,201812,Non Weather,Attritional,4971168,1988,493878
Plan V2,Aggregators,2019,1,201901,Non Weather,Attritional,4968576,1987,493591
Plan V2,Aggregators,2019,2,201902,Non Weather,Attritional,4949857,1980,498364
Plan V2,Aggregators,2019,3,201903,Non Weather,Attritional,4993978,1998,501360
Plan V2,Aggregators,2019,4,201904,Non Weather,Attritional,4995665,1998,496994
Plan V2,Aggregators,2019,5,201905,Non Weather,Attritional,5004309,2002,499774
Plan V2,Aggregators,2019,6,201906,Non Weather,Attritional,5050331,2020,501408
Plan V2,Aggregators,2019,7,201907,Non Weather,Attritional,5059776,2024,503532
Plan V2,Aggregators,2019,8,201908,Non Weather,Attritional,5037805,2015,505939
Plan V2,Aggregators,2019,9,201909,Non Weather,Attritional,5033270,2013,502835
Plan V2,Aggregators,2019,10,201910,Non Weather,Attritional,5032837,2013,501264
Plan V2,Aggregators,2019,11,201911,Non Weather,Attritional,5022968,2009,500984
Plan V2,Aggregators,2019,12,201912,Non Weather,Attritional,5087163,2035,508933
Plan V2,Aggregators,2018,9,201809,Non Weather,Large,4877911,1951,489559
Plan V2,Aggregators,2018,10,201810,Non Weather,Large,4916062,1966,489988
Plan V2,Aggregators,2018,11,201811,Non Weather,Large,4987658,1995,494705
Plan V2,Aggregators,2018,12,201812,Non Weather,Large,4950563,1980,494507
Plan V2,Aggregators,2019,1,201901,Non Weather,Large,4936241,1974,493285
Plan V2,Aggregators,2019,2,201902,Non Weather,Large,4992955,1997,499035
Plan V2,Aggregators,2019,3,201903,Non Weather,Large,4979730,1992,501009
Plan V2,Aggregators,2019,4,201904,Non Weather,Large,4971894,1989,498299
Plan V2,Aggregators,2019,5,201905,Non Weather,Large,5023914,2010,500658
Plan V2,Aggregators,2019,6,201906,Non Weather,Large,5047081,2019,501916
Plan V2,Aggregators,2019,7,201907,Non Weather,Large,5038924,2016,503483
Plan V2,Aggregators,2019,8,201908,Non Weather,Large,5029446,2012,505996
Plan V2,Aggregators,2019,9,201909,Non Weather,Large,5000147,2000,501788
Plan V2,Aggregators,2019,10,201910,Non Weather,Large,5045422,2018,502735
Plan V2,Aggregators,2019,11,201911,Non Weather,Large,5018887,2008,502555
Plan V2,Aggregators,2019,12,201912,Non Weather,Large,5070250,2028,506961
Actual,Barclays,2016,1,201601,Non Weather,Attritional,7431742,2973,744241
Actual,Barclays,2016,2,201602,Non Weather,Attritional,7555200,3022,757502
Actual,Barclays,2016,3,201603,Non Weather,Attritional,7613254,3045,767493
Actual,Barclays,2016,4,201604,Non Weather,Attritional,7768792,3108,776824
Actual,Barclays,2016,5,201605,Non Weather,Attritional,7916885,3167,793980
Actual,Barclays,2016,6,201606,Non Weather,Attritional,8112636,3245,809778
Actual,Barclays,2016,7,201607,Non Weather,Attritional,8293801,3318,832287
Actual,Barclays,2016,8,201608,Non Weather,Attritional,8443575,3377,847997
Actual,Barclays,2016,9,201609,Non Weather,Attritional,8625199,3450,863291
Actual,Barclays,2016,10,201610,Non Weather,Attritional,8722823,3489,872727
Actual,Barclays,2016,11,201611,Non Weather,Attritional,8960156,3584,896651
Actual,Barclays,2016,12,201612,Non Weather,Attritional,9110951,3644,906948
Actual,Barclays,2017,1,201701,Non Weather,Attritional,9267111,3707,928275
Actual,Barclays,2017,2,201702,Non Weather,Attritional,9496824,3799,949945
Actual,Barclays,2017,3,201703,Non Weather,Attritional,9707378,3883,975441
Actual,Barclays,2017,4,201704,Non Weather,Attritional,9795074,3918,978239
Actual,Barclays,2017,5,201705,Non Weather,Attritional,9967605,3987,996635
Actual,Barclays,2017,6,201706,Non Weather,Attritional,10157842,4063,1017839
Actual,Barclays,2017,7,201707,Non Weather,Attritional,10389945,4156,1033427
Actual,Barclays,2017,8,201708,Non Weather,Attritional,10533799,4214,1048470
Actual,Barclays,2017,9,201709,Non Weather,Attritional,10789683,4316,1073013
Actual,Barclays,2017,10,201710,Non Weather,Attritional,10933127,4373,1101305
Actual,Barclays,2017,11,201711,Non Weather,Attritional,11186804,4475,1119243
Actual,Barclays,2017,12,201712,Non Weather,Attritional,11395241,4558,1136676
Actual,Barclays,2018,1,201801,Non Weather,Attritional,11614054,4646,1155825
Actual,Barclays,2018,2,201802,Non Weather,Attritional,11881347,4753,1183371
Actual,Barclays,2018,3,201803,Non Weather,Attritional,12129062,4852,1213310
Actual,Barclays,2018,4,201804,Non Weather,Attritional,12440936,4976,1239544
Actual,Barclays,2018,5,201805,Non Weather,Attritional,12551767,5021,1255936
Actual,Barclays,2018,6,201806,Non Weather,Attritional,12856114,5142,1285444
Actual,Barclays,2018,7,201807,Non Weather,Attritional,13109926,5244,1304327
Actual,Barclays,2018,8,201808,Non Weather,Attritional,13299424,5320,1326163
Actual,Barclays,2018,9,201809,Non Weather,Attritional,11783960,4714,1188041
Actual,Barclays,2018,10,201810,Non Weather,Attritional,12081973,4833,1205033
Actual,Barclays,2018,11,201811,Non Weather,Attritional,12299925,4920,1219714
Actual,Barclays,2018,12,201812,Non Weather,Attritional,12604995,5042,1265957
Actual,Barclays,2016,1,201601,Non Weather,Large,7383761,2954,739816
Actual,Barclays,2016,2,201602,Non Weather,Large,7541982,3017,753467
Actual,Barclays,2016,3,201603,Non Weather,Large,7672860,3069,762847
Actual,Barclays,2016,4,201604,Non Weather,Large,7825156,3130,776475
Actual,Barclays,2016,5,201605,Non Weather,Large,7939479,3176,797371
Actual,Barclays,2016,7,201607,Non Weather,Large,8314164,3326,829177
Actual,Barclays,2016,8,201608,Non Weather,Large,8463394,3385,845975
Actual,Barclays,2016,9,201609,Non Weather,Large,8608057,3443,859620
Actual,Barclays,2016,10,201610,Non Weather,Large,8755069,3502,870983
Actual,Barclays,2016,11,201611,Non Weather,Large,8920147,3568,892912
Actual,Barclays,2017,2,201702,Non Weather,Large,9484856,3794,941577
Actual,Barclays,2017,4,201704,Non Weather,Large,9859449,3944,978199
Actual,Barclays,2017,7,201707,Non Weather,Large,10312058,4125,1036991
Actual,Barclays,2017,9,201709,Non Weather,Large,10778791,4312,1082175
Actual,Barclays,2017,10,201710,Non Weather,Large,10908324,4363,1100277
Actual,Barclays,2017,11,201711,Non Weather,Large,11204377,4482,1117284
Actual,Barclays,2018,1,201801,Non Weather,Large,11588337,4635,1154660
Actual,Barclays,2018,3,201803,Non Weather,Large,12097294,4839,1209888
Actual,Barclays,2018,4,201804,Non Weather,Large,12395497,4958,1237320
Actual,Barclays,2018,5,201805,Non Weather,Large,12602921,5041,1264457
Actual,Barclays,2018,6,201806,Non Weather,Large,12818822,5128,1282203
Actual,Barclays,2018,7,201807,Non Weather,Large,13095695,5238,1309144
Actual,Barclays,2018,8,201808,Non Weather,Large,13354581,5342,1334794
Actual,Barclays,2018,9,201809,Non Weather,Large,11881796,4753,1182016
Plan,Barclays,2018,7,201807,Non Weather,Attritional,13516285,5407,1350292
Plan,Barclays,2018,8,201808,Non Weather,Attritional,13728392,5491,1383782
Plan,Barclays,2018,9,201809,Non Weather,Attritional,12587330,5035,1261908
Plan,Barclays,2018,10,201810,Non Weather,Attritional,12863665,5145,1292478
Plan,Barclays,2018,11,201811,Non Weather,Attritional,13223546,5289,1319371
Plan,Barclays,2018,12,201812,Non Weather,Attritional,13342289,5337,1344963
Plan,Barclays,2019,1,201901,Non Weather,Attritional,14028680,5611,1395014
Plan,Barclays,2019,2,201902,Non Weather,Attritional,14156905,5663,1423304
Plan,Barclays,2019,3,201903,Non Weather,Attritional,13557809,5423,1364512
Plan,Barclays,2019,4,201904,Non Weather,Attritional,13822371,5529,1373250
Plan,Barclays,2019,5,201905,Non Weather,Attritional,13660321,5464,1363562
Plan,Barclays,2019,6,201906,Non Weather,Attritional,13738593,5495,1372049
Plan,Barclays,2019,7,201907,Non Weather,Attritional,13640280,5456,1371819
Plan,Barclays,2019,8,201908,Non Weather,Attritional,13793820,5518,1384412
Plan,Barclays,2019,9,201909,Non Weather,Attritional,14153388,5661,1420453
Plan,Barclays,2019,10,201910,Non Weather,Attritional,14710285,5884,1458487
Plan,Barclays,2019,11,201911,Non Weather,Attritional,14567809,5827,1449851
Plan,Barclays,2019,12,201912,Non Weather,Attritional,14082408,5633,1409995
Plan,Barclays,2018,7,201807,Non Weather,Large,13622038,5449,1357654
Plan,Barclays,2018,8,201808,Non Weather,Large,13809368,5524,1379740
Plan,Barclays,2018,9,201809,Non Weather,Large,12626349,5051,1269102
Plan,Barclays,2018,10,201810,Non Weather,Large,12878454,5151,1295126
Plan,Barclays,2018,11,201811,Non Weather,Large,13194095,5278,1321747
Plan,Barclays,2018,12,201812,Non Weather,Large,13359505,5344,1333286
Plan,Barclays,2019,1,201901,Non Weather,Large,14011353,5605,1391930
Plan,Barclays,2019,2,201902,Non Weather,Large,14188696,5675,1419522
Plan,Barclays,2019,3,201903,Non Weather,Large,13655026,5462,1362545
Plan,Barclays,2019,4,201904,Non Weather,Large,13750149,5500,1371196
Plan,Barclays,2019,5,201905,Non Weather,Large,13645848,5458,1375014
Plan,Barclays,2019,6,201906,Non Weather,Large,13849701,5540,1378233
Plan,Barclays,2019,7,201907,Non Weather,Large,13761404,5505,1376171
Plan,Barclays,2019,8,201908,Non Weather,Large,13836370,5535,1377018
Plan,Barclays,2019,9,201909,Non Weather,Large,14161041,5664,1419692
Plan,Barclays,2019,10,201910,Non Weather,Large,14703609,5881,1458666
Plan,Barclays,2019,11,201911,Non Weather,Large,14551512,5821,1456936
Plan,Barclays,2019,12,201912,Non Weather,Large,14064359,5626,1406266
Plan V2,Barclays,2018,9,201809,Non Weather,Attritional,11920416,4768,1189671
Plan V2,Barclays,2018,10,201810,Non Weather,Attritional,12118484,4847,1213468
Plan V2,Barclays,2018,11,201811,Non Weather,Attritional,12326110,4930,1231651
Plan V2,Barclays,2018,12,201812,Non Weather,Attritional,12476336,4991,1248843
Plan V2,Barclays,2019,1,201901,Non Weather,Attritional,12614670,5046,1264523
Plan V2,Barclays,2019,2,201902,Non Weather,Attritional,12588594,5035,1269210
Plan V2,Barclays,2019,3,201903,Non Weather,Attritional,12590158,5036,1264630
Plan V2,Barclays,2019,4,201904,Non Weather,Attritional,12784947,5114,1271284
Plan V2,Barclays,2019,5,201905,Non Weather,Attritional,12741241,5096,1264327
Plan V2,Barclays,2019,6,201906,Non Weather,Attritional,12772398,5109,1271079
Plan V2,Barclays,2019,7,201907,Non Weather,Attritional,12795058,5118,1281428
Plan V2,Barclays,2019,8,201908,Non Weather,Attritional,12885951,5154,1287306
Plan V2,Barclays,2019,9,201909,Non Weather,Attritional,13032453,5213,1302072
Plan V2,Barclays,2019,10,201910,Non Weather,Attritional,13100410,5240,1305103
Plan V2,Barclays,2019,11,201911,Non Weather,Attritional,13147488,5259,1308643
Plan V2,Barclays,2019,12,201912,Non Weather,Attritional,13074830,5230,1303320
Plan V2,Barclays,2018,9,201809,Non Weather,Large,11963446,4785,1191098
Plan V2,Barclays,2018,10,201810,Non Weather,Large,12185012,4874,1222437
Plan V2,Barclays,2018,11,201811,Non Weather,Large,12333066,4933,1233747
Plan V2,Barclays,2018,12,201812,Non Weather,Large,12542332,5017,1251554
Plan V2,Barclays,2019,1,201901,Non Weather,Large,12660605,5064,1267840
Plan V2,Barclays,2019,2,201902,Non Weather,Large,12685610,5074,1258898
Plan V2,Barclays,2019,3,201903,Non Weather,Large,12602647,5041,1259804
Plan V2,Barclays,2019,4,201904,Non Weather,Large,12779275,5112,1269276
Plan V2,Barclays,2019,5,201905,Non Weather,Large,12755400,5102,1267053
Plan V2,Barclays,2019,6,201906,Non Weather,Large,12749002,5100,1276867
Plan V2,Barclays,2019,7,201907,Non Weather,Large,12788917,5116,1279858
Plan V2,Barclays,2019,8,201908,Non Weather,Large,12944753,5178,1294729
Plan V2,Barclays,2019,9,201909,Non Weather,Large,13019437,5208,1308805
Plan V2,Barclays,2019,10,201910,Non Weather,Large,13117866,5247,1303554
Plan V2,Barclays,2019,11,201911,Non Weather,Large,13141359,5257,1307269
Plan V2,Barclays,2019,12,201912,Non Weather,Large,13106343,5243,1303189
Actual,HSBC,2016,1,201601,Non Weather,Attritional,3750968,1500,372339
Actual,HSBC,2016,2,201602,Non Weather,Attritional,3700149,1480,367349
Actual,HSBC,2016,3,201603,Non Weather,Attritional,3669719,1468,364770
Actual,HSBC,2016,4,201604,Non Weather,Attritional,3611717,1445,361642
Actual,HSBC,2016,5,201605,Non Weather,Attritional,3602814,1441,359106
Actual,HSBC,2016,6,201606,Non Weather,Attritional,3535232,1414,354216
Actual,HSBC,2016,7,201607,Non Weather,Attritional,3492513,1397,347731
Actual,HSBC,2016,8,201608,Non Weather,Attritional,3446909,1379,344833
Actual,HSBC,2016,9,201609,Non Weather,Attritional,3411095,1364,340975
Actual,HSBC,2016,10,201610,Non Weather,Attritional,3388176,1355,337906
Actual,HSBC,2016,11,201611,Non Weather,Attritional,3362806,1345,333883
Actual,HSBC,2016,12,201612,Non Weather,Attritional,3278133,1311,327962
Actual,HSBC,2017,1,201701,Non Weather,Attritional,3272964,1309,327000
Actual,HSBC,2017,2,201702,Non Weather,Attritional,3231105,1292,322725
Actual,HSBC,2017,3,201703,Non Weather,Attritional,3179588,1272,317692
Actual,HSBC,2017,4,201704,Non Weather,Attritional,3118506,1247,310992
Actual,HSBC,2017,5,201705,Non Weather,Attritional,3110596,1244,310532
Actual,HSBC,2017,6,201706,Non Weather,Attritional,3078661,1231,308648
Actual,HSBC,2017,7,201707,Non Weather,Attritional,3052297,1221,303628
Actual,HSBC,2017,8,201708,Non Weather,Attritional,3026051,1210,300924
Actual,HSBC,2017,9,201709,Non Weather,Attritional,2980649,1192,297111
Actual,HSBC,2017,10,201710,Non Weather,Attritional,2945072,1178,294028
Actual,HSBC,2017,11,201711,Non Weather,Attritional,2921445,1169,290382
Actual,HSBC,2017,12,201712,Non Weather,Attritional,2907875,1163,291923
Actual,HSBC,2018,1,201801,Non Weather,Attritional,2885811,1154,287191
Actual,HSBC,2018,2,201802,Non Weather,Attritional,2852749,1141,284611
Actual,HSBC,2018,3,201803,Non Weather,Attritional,2822030,1129,281739
Actual,HSBC,2018,4,201804,Non Weather,Attritional,2803891,1122,278181
Actual,HSBC,2018,5,201805,Non Weather,Attritional,2751327,1101,274602
Actual,HSBC,2018,6,201806,Non Weather,Attritional,2717184,1087,271137
Actual,HSBC,2018,7,201807,Non Weather,Attritional,2684220,1074,267862
Actual,HSBC,2018,8,201808,Non Weather,Attritional,2629226,1052,263855
Actual,HSBC,2018,9,201809,Non Weather,Attritional,3944902,1578,394442
Actual,HSBC,2018,10,201810,Non Weather,Attritional,3915728,1566,394780
Actual,HSBC,2018,11,201811,Non Weather,Attritional,3877513,1551,387891
Actual,HSBC,2018,12,201812,Non Weather,Attritional,3818172,1527,384623
Actual,HSBC,2016,4,201604,Non Weather,Large,3632592,1453,363772
Actual,HSBC,2016,6,201606,Non Weather,Large,3551765,1421,355080
Actual,HSBC,2016,7,201607,Non Weather,Large,3496956,1399,349332
Actual,HSBC,2016,9,201609,Non Weather,Large,3412947,1365,343408
Actual,HSBC,2016,11,201611,Non Weather,Large,3343128,1337,336020
Actual,HSBC,2017,4,201704,Non Weather,Large,3133748,1253,311835
Actual,HSBC,2017,6,201706,Non Weather,Large,3095494,1238,309252
Actual,HSBC,2017,7,201707,Non Weather,Large,3058878,1224,306365
Actual,HSBC,2018,1,201801,Non Weather,Large,2881143,1152,289110
Actual,HSBC,2018,11,201811,Non Weather,Large,3885938,1554,389995
Plan,HSBC,2018,7,201807,Non Weather,Attritional,7110960,2844,714485
Plan,HSBC,2018,8,201808,Non Weather,Attritional,7019860,2808,701314
Plan,HSBC,2018,9,201809,Non Weather,Attritional,6607281,2643,663643
Plan,HSBC,2018,10,201810,Non Weather,Attritional,6799582,2720,678118
Plan,HSBC,2018,11,201811,Non Weather,Attritional,6660329,2664,666065
Plan,HSBC,2018,12,201812,Non Weather,Attritional,6728826,2692,669806
Plan,HSBC,2019,1,201901,Non Weather,Attritional,6788825,2716,677547
Plan,HSBC,2019,2,201902,Non Weather,Attritional,6762765,2705,675026
Plan,HSBC,2019,3,201903,Non Weather,Attritional,6744234,2698,673405
Plan,HSBC,2019,4,201904,Non Weather,Attritional,6785169,2714,678465
Plan,HSBC,2019,5,201905,Non Weather,Attritional,6733271,2693,672808
Plan,HSBC,2019,6,201906,Non Weather,Attritional,6726932,2691,674130
Plan,HSBC,2019,7,201907,Non Weather,Attritional,6700173,2680,673071
Plan,HSBC,2019,8,201908,Non Weather,Attritional,6732475,2693,672066
Plan,HSBC,2019,9,201909,Non Weather,Attritional,6671914,2669,669347
Plan,HSBC,2019,10,201910,Non Weather,Attritional,6642666,2657,662246
Plan,HSBC,2019,11,201911,Non Weather,Attritional,6655477,2662,663606
Plan,HSBC,2019,12,201912,Non Weather,Attritional,6654933,2662,667816
Plan,HSBC,2018,7,201807,Non Weather,Large,7168547,2867,713712
Plan,HSBC,2018,8,201808,Non Weather,Large,7047020,2819,700723
Plan,HSBC,2018,9,201809,Non Weather,Large,6612000,2645,665022
Plan,HSBC,2018,10,201810,Non Weather,Large,6813534,2725,677378
Plan,HSBC,2018,11,201811,Non Weather,Large,6666339,2667,665380
Plan,HSBC,2018,12,201812,Non Weather,Large,6713842,2686,669844
Plan,HSBC,2019,1,201901,Non Weather,Large,6736321,2695,676098
Plan,HSBC,2019,2,201902,Non Weather,Large,6732347,2693,675496
Plan,HSBC,2019,3,201903,Non Weather,Large,6749482,2700,673636
Plan,HSBC,2019,4,201904,Non Weather,Large,6799837,2720,677713
Plan,HSBC,2019,5,201905,Non Weather,Large,6753679,2701,671036
Plan,HSBC,2019,6,201906,Non Weather,Large,6739351,2696,671455
Plan,HSBC,2019,7,201907,Non Weather,Large,6698843,2680,668390
Plan,HSBC,2019,8,201908,Non Weather,Large,6698694,2679,675505
Plan,HSBC,2019,9,201909,Non Weather,Large,6677581,2671,670699
Plan,HSBC,2019,10,201910,Non Weather,Large,6635736,2654,661319
Plan,HSBC,2019,11,201911,Non Weather,Large,6620078,2648,661038
Plan,HSBC,2019,12,201912,Non Weather,Large,6698846,2680,665700
Plan V2,HSBC,2018,9,201809,Non Weather,Attritional,3394732,1358,342359
Plan V2,HSBC,2018,10,201810,Non Weather,Attritional,3391570,1357,338161
Plan V2,HSBC,2018,11,201811,Non Weather,Attritional,3345559,1338,335548
Plan V2,HSBC,2018,12,201812,Non Weather,Attritional,3323926,1330,332848
Plan V2,HSBC,2019,1,201901,Non Weather,Attritional,3329426,1332,334566
Plan V2,HSBC,2019,2,201902,Non Weather,Attritional,3348952,1340,333787
Plan V2,HSBC,2019,3,201903,Non Weather,Attritional,3411537,1365,339090
Plan V2,HSBC,2019,4,201904,Non Weather,Attritional,3445265,1378,343205
Plan V2,HSBC,2019,5,201905,Non Weather,Attritional,3439400,1376,345522
Plan V2,HSBC,2019,6,201906,Non Weather,Attritional,3445898,1378,343985
Plan V2,HSBC,2019,7,201907,Non Weather,Attritional,3490280,1396,347931
Plan V2,HSBC,2019,8,201908,Non Weather,Attritional,3452774,1381,346653
Plan V2,HSBC,2019,9,201909,Non Weather,Attritional,3485563,1394,347404
Plan V2,HSBC,2019,10,201910,Non Weather,Attritional,3521878,1409,349339
Plan V2,HSBC,2019,11,201911,Non Weather,Attritional,3538395,1415,355196
Plan V2,HSBC,2019,12,201912,Non Weather,Attritional,3547767,1419,355567
Plan V2,HSBC,2018,9,201809,Non Weather,Large,3399734,1360,340562
Plan V2,HSBC,2018,10,201810,Non Weather,Large,3409098,1364,340420
Plan V2,HSBC,2018,11,201811,Non Weather,Large,3358351,1343,336348
Plan V2,HSBC,2018,12,201812,Non Weather,Large,3331631,1333,334063
Plan V2,HSBC,2019,1,201901,Non Weather,Large,3361555,1345,333959
Plan V2,HSBC,2019,2,201902,Non Weather,Large,3358380,1343,334429
Plan V2,HSBC,2019,3,201903,Non Weather,Large,3418550,1367,341464
Plan V2,HSBC,2019,4,201904,Non Weather,Large,3422830,1369,342926
Plan V2,HSBC,2019,5,201905,Non Weather,Large,3454890,1382,343832
Plan V2,HSBC,2019,6,201906,Non Weather,Large,3422312,1369,344439
Plan V2,HSBC,2019,7,201907,Non Weather,Large,3468850,1388,347559
Plan V2,HSBC,2019,8,201908,Non Weather,Large,3463704,1385,346548
Plan V2,HSBC,2019,9,201909,Non Weather,Large,3493133,1397,348098
Plan V2,HSBC,2019,10,201910,Non Weather,Large,3500756,1400,350826
Plan V2,HSBC,2019,11,201911,Non Weather,Large,3528484,1411,351873
Plan V2,HSBC,2019,12,201912,Non Weather,Large,3541319,1417,354698
Actual,IB APC,2016,1,201601,Non Weather,Attritional,10121898,4049,1013486
Actual,IB APC,2016,2,201602,Non Weather,Attritional,10152935,4061,1012880
Actual,IB APC,2016,3,201603,Non Weather,Attritional,10213354,4085,1021347
Actual,IB APC,2016,4,201604,Non Weather,Attritional,10236501,4095,1025081
Actual,IB APC,2016,5,201605,Non Weather,Attritional,10295257,4118,1025231
Actual,IB APC,2016,6,201606,Non Weather,Attritional,10214222,4086,1028753
Actual,IB APC,2016,7,201607,Non Weather,Attritional,10354062,4142,1031455
Actual,IB APC,2016,8,201608,Non Weather,Attritional,10371975,4149,1037141
Actual,IB APC,2016,9,201609,Non Weather,Attritional,10499198,4200,1049094
Actual,IB APC,2016,10,201610,Non Weather,Attritional,10487872,4195,1048392
Actual,IB APC,2016,11,201611,Non Weather,Attritional,10530612,4212,1050968
